Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|Field=PartNumber~String~PartNumber~100|Field=URL~String~URL~100|Field=PN~String~PN~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~PCB_Project_Power.PrjPcb|ReportField=ProjectFullPath~C:\Users\mfolz-cc\Desktop\Owncloud\ConestogaCollege\ESE\Engineering Project IV\Final Board\Feb_28\PCB_Project_Power\PCB_Project_Power.PrjPcb|ReportField=Title~Bill of Materials For Project [PCB_Project_Power.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~184|ReportField=ReportTime~2:22:45 PM|ReportField=ReportDate~4/28/2015|ReportField=ReportDateTime~4/28/2015 2:22:45 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.06:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=A3:PaperIndex=8|ReportField=DataSourceFileName~PCB_Project_Power.PrjPcb|ReportField=DataSourceFullPath~C:\Users\mfolz-cc\Desktop\Owncloud\ConestogaCollege\ESE\Engineering Project IV\Final Board\Feb_28\PCB_Project_Power\PCB_Project_Power.PrjPcb
|*3|PJ-S002AH-SMD|1|||http://www.digikey.com/product-detail/en/PJ-002AH-SMT-TR/CP-002AHPJCT-ND/669692|
Header, 5-Pin|ACC1, ANALOG1, PBHB1|Header 5|3||||
Header, 6-Pin|AR_AD1, AR_PW1|Header 6|2||||
Header, 8-Pin|AR_DIG1, AR_DIG2|Header 8|2||||
CONN HEADER BRKWAY 6POS DL .100|BDM_PORT1|CON6|1|||http://www.digikey.ca/product-detail/en/5-146254-3/A105155-ND|A105155-ND
CAP CER .1uF 50v Y5V 0805, CAP CER .1uF 50v Y5V 0805, CAP CER .1uF 50v Y5V 0805, CAP CER .1uF 50v X7R 0805, CAP CER 100pF 500v COG 0805, CAP CER 100pF 500v COG 0805, CAP CER .1uF 16v X7R 0805, CAP CER .1uF 16v X7R 0805, CAP CER 22pF 630v X7R 0805, CAP CER 22pF 630v X7R 0805, CAP CER .1uF 50v X7R 0805, CAP CER .1uF 50v X7R 0805, CAP CER .1uF 50v X7R 0805, CAP CER .1uF 50v X7R 0805, CAP CER .1uF 50v X7R 0805, CAP CER .1uF 50v X7R 0805, CAP CER .1uF 16v X7R 0805, CAP CER .1uF 50v X7R 0805, CAP CER .1uF 50v Z5U 0805, CAP CER .1uF 50v Z5U 0805, CAP CER .1uF 50v Z5U 0805, CAP CER .1uF 50v X7R 0805, CAP CER .1uF 50v X7R 0805, CAP CER 5600pF 50v X7R 0805, CAP CER .1uF 100v X7R 0805, CAP CER 10000pF 1000v X7R 1210, CAP CER 5600pF 50v X7R 0805, CAP CER .22uF 50v X7R 0805, CAP CER 1uF 16v X7R 0805, CAP CER 1uF 16v X7R 0805, CAP CER 10000pF 100v X7R 0805, CAP CER 10000pF 100v X7R 0805, CAP CER .1uF 16v X7R 0805, CAP CER .1uF 16v X7R 0805, CAP CER .1uF 16v X7R 0805, CAP CER 10uF 6.3v X5R 0805, CAP CER 10000pF 50v Z5U 0805|C1, C2, C3, C4, C5, C6, C11, C13, C15, C16, C17, C18, C19, C20, C21, C22, C23, C26, C31, C32, C33, C34, C35, C36, C38, C39, C40, C41, C45_A, C45_D, C46_A, C46_D, C48, C50, C51, CFil_1, CFil_2|CAP-Y5V-.1uF-50V-+80%/-20%, CAP-Y5V-.1uF-50V-+80%/-20%, CAP-Y5V-.1uF-50V-+80%/-20%, CAP-X7R-.1uF-50V-±20%, CAP-COG-100pF-500V-±5%, CAP-COG-100pF-500V-±5%, CAP-X7R-.1uF-16V-±10%, CAP-X7R-.1uF-16V-±10%, CAP-X7R-22pF-630V-±10%, CAP-X7R-22pF-630V-±10%, CAP-X7R-.1uF-50V-±20%, CAP-X7R-.1uF-50V-±20%, CAP-X7R-.1uF-50V-±20%, CAP-X7R-.1uF-50V-±20%, CAP-X7R-.1uF-50V-±20%, CAP-X7R-.1uF-50V-±20%, CAP-X7R-.1uF-16V-±10%, CAP-X7R-.1uF-50V-±20%, CAP-Z5U-.1uF-50V-±20%, CAP-Z5U-.1uF-50V-±20%, CAP-Z5U-.1uF-50V-±20%, CAP-X7R-.1uF-50V-±20%, CAP-X7R-.1uF-50V-±20%, CAP-X7R-5600pF-50V-±10%, CAP-X7R-.1uF-100V-±10%, CAP-X7R-10000pF-1000V-±5%, CAP-X7R-5600pF-50V-±10%, CAP-X7R-.22uF-50V-±10%, CAP-X7R-1uF-16V-±10%, CAP-X7R-1uF-16V-±10%, CAP-X7R-10000pF-100V-±10%, CAP-X7R-10000pF-100V-±10%, CAP-X7R-.1uF-16V-±10%, CAP-X7R-.1uF-16V-±10%, CAP-X7R-.1uF-16V-±10%, CAP-X5R-10uF-6.3V-±10%, CAP-Z5U-10000pF-50V-±20%|37|.1uF, .1uF, .1uF, .1uF, 100pF, 100pF, .1uF, .1uF, 22pF, 22pF, .1uF, .1uF, .1uF, .1uF, .1uF, .1uF, .1uF, .1uF, .1uF, .1uF, .1uF, .1uF, .1uF, 5600pF, .1uF, 10000pF, 5600pF, .22uF, 1uF, 1uF, 10000pF, 10000pF, .1uF, .1uF, .1uF, 10uF, 10000pF||http://www.digikey.ca/product-detail/en/C0805C104Z5VACTU/399-1177-1-ND, http://www.digikey.ca/product-detail/en/C0805C104Z5VACTU/399-1177-1-ND, http://www.digikey.ca/product-detail/en/C0805C104Z5VACTU/399-1177-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5RACTU/399-1169-1-ND, http://www.digikey.ca/product-detail/en/C0805C101JCGACTU/399-5102-1-ND, http://www.digikey.ca/product-detail/en/C0805C101JCGACTU/399-5102-1-ND, http://www.digikey.ca/product-detail/en/C0805C104K4RACTU/399-1167-1-ND, http://www.digikey.ca/product-detail/en/C0805C104K4RACTU/399-1167-1-ND, http://www.digikey.ca/product-detail/en/C0805C220KBRACTU/399-5568-1-ND, http://www.digikey.ca/product-detail/en/C0805C220KBRACTU/399-5568-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5RACTU/399-1169-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5RACTU/399-1169-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5RACTU/399-1169-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5RACTU/399-1169-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5RACTU/399-1169-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5RACTU/399-1169-1-ND, http://www.digikey.ca/product-detail/en/C0805C104K4RACTU/399-1167-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5RACTU/399-1169-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5UACTU/399-1176-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5UACTU/399-1176-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5UACTU/399-1176-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5RACTU/399-1169-1-ND, http://www.digikey.ca/product-detail/en/C0805C104M5RACTU/399-1169-1-ND, http://www.digikey.ca/product-detail/en/C0805C562K5RACTU/399-1156-1-ND, http://www.digikey.ca/product-detail/en/C0805C104K1RACTU/399-3486-1-ND, http://www.digikey.ca/product-detail/en/C1210C103JDRACTU/399-5106-1-ND, http://www.digikey.ca/product-detail/en/C0805C562K5RACTU/399-1156-1-ND, http://www.digikey.ca/product-detail/en/C0805C224K5RACTU/399-3491-1-ND, http://www.digikey.ca/product-detail/en/C0805C105K4RACTU/399-1284-1-ND, http://www.digikey.ca/product-detail/en/C0805C105K4RACTU/399-1284-1-ND, http://www.digikey.ca/product-detail/en/C0805C103K1RACTU/399-1159-1-ND, http://www.digikey.ca/product-detail/en/C0805C103K1RACTU/399-1159-1-ND, http://www.digikey.ca/product-detail/en/C0805C104K4RACTU/399-1167-1-ND, http://www.digikey.ca/product-detail/en/C0805C104K4RACTU/399-1167-1-ND, http://www.digikey.ca/product-detail/en/C0805C104K4RACTU/399-1167-1-ND, http://www.digikey.ca/product-detail/en/C0805C106K9PACTU/399-3138-1-ND, http://www.digikey.ca/product-detail/en/C0805C103M5UACTU/399-1174-1-ND|399-1177-1-ND, 399-1177-1-ND, 399-1177-1-ND, 399-1169-1-ND, 399-5102-1-ND, 399-5102-1-ND, 399-1167-1-ND, 399-1167-1-ND, 399-5568-1-ND, 399-5568-1-ND, 399-1169-1-ND, 399-1169-1-ND, 399-1169-1-ND, 399-1169-1-ND, 399-1169-1-ND, 399-1169-1-ND, 399-1167-1-ND, 399-1169-1-ND, 399-1176-1-ND, 399-1176-1-ND, 399-1176-1-ND, 399-1169-1-ND, 399-1169-1-ND, 399-1156-1-ND, 399-3486-1-ND, 399-5106-1-ND, 399-1156-1-ND, 399-3491-1-ND, 399-1284-1-ND, 399-1284-1-ND, 399-1159-1-ND, 399-1159-1-ND, 399-1167-1-ND, 399-1167-1-ND, 399-1167-1-ND, 399-3138-1-ND, 399-1174-1-ND
CAP CER 4700pF 50v X7R 0805, CAP CER .1uF 16v X7R 0805|C7, C9|CAP-X7R-4700pF-50V-±10%, CAP-X7R-.1uF-16V-±10%|2|4700pF, .1uF||http://www.digikey.ca/product-detail/en/C0805C472K5RACTU/399-1155-1-ND, http://www.digikey.ca/product-detail/en/C0805C104K4RACTU/399-1167-1-ND|399-1155-1-ND, 399-1167-1-ND
CAP CER 470pF 50v X7R 0805|C8|CAP-X7R-470pF-50V-±10%|1|470pF||http://www.digikey.ca/product-detail/en/C0805C471K5RACTU/399-1142-1-ND|399-1142-1-ND
CAP CER 10000pF 50v Z5U 0805, CAP CER 10000pF 100v X7R 0805|C10, C24|CAP-Z5U-10000pF-50V-+80%/-20%, CAP-X7R-10000pF-100V-±10%|2|0.01uF||http://www.digikey.ca/product-detail/en/C0805C103K5RACTU/399-1158-1-ND/411433, http://www.digikey.ca/product-detail/en/GRM155R71E103KA01D/490-1312-1-ND/587934|399-1173-1-ND, 399-1159-1-ND
CAP CER .1uF 16v X7R 0805|C12, C14|CAP-X7R-.1uF-16V-±10%|2|.1uF||http://www.digikey.ca/product-detail/en/T491A104M035AT/399-3677-1-ND/819002|399-3677-1-ND
